objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
S14.001,,,International Mr. Leather Winners 1985,,,,,,,,,,,,,,,,,,,,,,
S14.002,,,Mr. Maryland Leather 1992,,,,,,,,,,,,,,,,,,,,,,
S14.003,,,International Mr. Leather Winners 1992,,,,,,,,,,,,,,,,,,,,,,
S14.004,,,Leather Gear,,,,,,,,,,,,,,,,,,,,,,
S14.005,,,Leatherman Razz,,,,,,,,,,,,,,,,,,,,,,
S14.006,,,Mr. Pennsylvania Drummer and Drummerboy 1998,,,,,,,,,,,,,,,,,,,,,,
S14.007,,,Two Leathermen,,,,,,,,,,,,,,,,,,,,,,
S14.008,,,International Mr. Leather Winners (unknown year),,,,,,,,,,,,,,,,,,,,,,
S14.009,,,Mr. Pittsburgh Leatherman 2001,,,,,,,,,,,,,,,,,,,,,,
S14.010,,,International Mr. Leather Winners (unknown year),,,,,,,,,,,,,,,,,,,,,,
S14.011,,,Travelers Mr. Leather Show,,,,,,,,,,,,,,,,,,,,,,
S14.012,,,Leather Judges,,,,,,,,,,,,,,,,,,,,,,
S14.013,,,Mr. Drummer Regional Show,,,,,,,,,,,,,,,,,,,,,,
S14.014,,,Leatherman Speech,,,,,,,,,,,,,,,,,,,,,,
S14.015,,,Two Leathermen Sing,,,,,,,,,,,,,,,,,,,,,,
S14.016,,,Leatherman Changes Clothes,,,,,,,,,,,,,,,,,,,,,,
S14.017,,,Leatherman on Stage,,,,,,,,,,,,,,,,,,,,,,
S14.018,,,Mr. Pennsylvania Drummer and Drummerboy 2000,,,,,,,,,,,,,,,,,,,,,,
S14.019,,,Pittsburgh Motorcycle Club Awards,,,,,,,,,,,,,,,,,,,,,,
S14.020,,,Six Leathermen,,,,,,,,,,,,,,,,,,,,,,
S14.021,,,Drummer and Drummerboy in Love,,,,,,,,,,,,,,,,,,,,,,
S14.022,,,Pittsburgh Motorcycle Club Cake,,,,,,,,,,,,,,,,,,,,,,
S14.023,,,Mr. Pittsburgh Leathermen (unknown year),,,,,,,,,,,,,,,,,,,,,,
S14.024,,,International Mr. Leather Winner 1985,,,,,,,,,,,,,,,,,,,,,,
S14.025,,,Mr. Northern Appalachian Drummer 1984,,,,,,,,,,,,,,,,,,,,,,
S14.026,,,Leatherman Behind the Bar 1983,,,,,,,,,,,,,,,,,,,,,,
S14.027,,,Leatherman with Trophy,,,,,,,,,,,,,,,,,,,,,,
S14.028,,,Mr. Pittsburgh Leathermen 1999,,,,,,,,,,,,,,,,,,,,,,
S14.029,,,Mr. Pittsburgh Leather 1998 and Ms. Pittsburgh Leather 1997,,,,,,,,,,,,,,,,,,,,,,
S14.030,,,Leather Grrrls,,,,,,,,,,,,,,,,,,,,,,
,,,Photograph of revolving table used to sort and compile materials,,,,,,,,,,,,,,,,,,,,,,
,,,Photograph of some Psychiana staff members at Psychiana's international headquarters,,,,,,,,,,,,,,,,,,,,,,
,,,Photograph of the bookkeeping department,,,,,,,,,,,,,,,,,,,,,,
,,,Photograph of The Professional Building built by Frank B. Robinson,,,,,,,,,,,,,,,,,,,,,,
,,,"Photograph of three men, two working at linographs",,,,,,,,,,,,,,,,,,,,,,
,,,Photograph of two women using dictaphones,,,,,,,,,,,,,,,,,,,,,,
,,,Photograph of unidentified woman using an envelope sorter,,,,,,,,,,,,,,,,,,,,,,
,,,"Photograph of William Walter DeBolt, Frank B. Robinson, and unidentified female staff member working at a sorter",,,,,,,,,,,,,,,,,,,,,,
,,,Portrait of Frank B. Robinson [01],,,,,,,,,,,,,,,,,,,,,,
,,,Portrait of Frank B. Robinson [02],,,,,,,,,,,,,,,,,,,,,,
,,,Portrait of Frank B. Robinson [03],,,,,,,,,,,,,,,,,,,,,,
,,,Sales - Agents Application Blank,,,,,,,,,,,,,,,,,,,,,,
,,,Order Blank,,,,,,,,,,,,,,,,,,,,,,
,,,Daily Procedure For Every 'Psychiana' Student,,,,,,,,,,,,,,,,,,,,,,
,,,"Dr. Frank B. Robinson Speaking to Packed house in the TRINITY AUGITORIUM Los Angeles, California, January 27th 1935",,,,,,,,,,,,,,,,,,,,,,
,,,The New Psychiana,,,,,,,,,,,,,,,,,,,,,,
,,,Several portrait photographs of a younger Frank B. Robinson,,,,,,,,,,,,,,,,,,,,,,
,,,Signed portrait of Tommy Burns at age 27 mailed to Frank B. Robinson,,,,,,,,,,,,,,,,,,,,,,
,,,A Sacred Trust,,,,,,,,,,,,,,,,,,,,,,
,,,A Special Offer to our Members ONLY!,,,,,,,,,,,,,,,,,,,,,,
,,,Psychiana What It Is,,,,,,,,,,,,,,,,,,,,,,
,,,I Want You to Find the Almighty Power of God and You Can Right Here on Earth,,,,,,,,,,,,,,,,,,,,,,
,,,Thank God for the Atom-Bomb,,,,,,,,,,,,,,,,,,,,,,
,,,The Power of God Can Give To You New Life,,,,,,,,,,,,,,,,,,,,,,
,,,"The Power of God, the Power of God, the Power of God",,,,,,,,,,,,,,,,,,,,,,
,,,Your Chance To Obtain the Full Original 'Psychiana' Teaching of Dr. Frank B. Robinson,,,,,,,,,,,,,,,,,,,,,,
,,,Psychiana Spiritual Blitzkrieg button,,,,,,,,,,,,,,,,,,,,,,
,,,Peace of Mind,,,,,,,,,,,,,,,,,,,,,,
,,,I Talked With God,,,,,,,,,,,,,,,,,,,,,,
,,,"The Sky is Red, for Protestant ministers",,,,,,,,,,,,,,,,,,,,,,
